,Cod_setor,quintilLongevidade,quintilAlfabetizacao,quintilRenda
119,350990805000002,4.0,5.0,4.0
120,350990805000003,5.0,4.0,5.0
121,350990805000004,5.0,4.0,5.0
122,350990805000005,5.0,5.0,5.0
123,350990805000006,4.0,4.0,5.0
125,350990805000008,4.0,5.0,4.0
126,350990805000009,5.0,5.0,4.0
127,350990805000010,3.0,5.0,3.0
128,350990805000011,4.0,3.0,2.0
129,350990805000012,2.0,3.0,2.0
131,350990805000014,4.0,4.0,3.0
132,350990805000015,2.0,1.0,1.0
133,350990805000016,1.0,3.0,1.0
134,350990805000017,3.0,2.0,1.0
135,350990805000018,4.0,3.0,1.0
136,350990805000019,4.0,2.0,1.0
137,350990805000021,2.0,4.0,4.0
138,350990805000022,2.0,2.0,1.0
140,350990805000025,1.0,1.0,1.0
141,350990810000001,5.0,4.0,1.0
143,350990810000003,2.0,3.0,2.0
145,351480905000001,5.0,5.0,5.0
146,351480905000002,4.0,4.0,5.0
147,351480905000003,5.0,4.0,5.0
148,351480905000004,2.0,3.0,3.0
149,351480905000005,5.0,5.0,5.0
150,351480905000006,2.0,3.0,2.0
151,351480905000007,4.0,1.0,2.0
152,351480905000008,5.0,4.0,2.0
153,351480905000009,4.0,2.0,3.0
154,351480905000010,1.0,1.0,2.0
155,351480905000011,5.0,4.0,3.0
156,351480905000012,4.0,2.0,2.0
157,351480905000013,3.0,1.0,2.0
158,351480905000014,5.0,4.0,4.0
159,351480905000015,1.0,1.0,1.0
160,351480905000016,1.0,3.0,4.0
161,351480905000017,1.0,4.0,1.0
162,351480910000001,5.0,2.0,3.0
163,351480910000002,2.0,1.0,2.0
164,351480910000003,4.0,1.0,1.0
165,351480910000006,1.0,2.0,1.0
166,351480915000001,4.0,2.0,4.0
167,351480915000002,1.0,1.0,2.0
168,351480915000003,2.0,2.0,1.0
169,351480915000004,2.0,3.0,1.0
170,351480915000005,4.0,1.0,1.0
171,351480915000006,2.0,4.0,1.0
172,351480915000007,1.0,2.0,1.0
173,351480915000011,1.0,5.0,2.0
174,351480915000012,5.0,2.0,1.0
175,352030105000001,5.0,3.0,5.0
176,352030105000002,5.0,5.0,5.0
177,352030105000003,5.0,3.0,5.0
178,352030105000004,5.0,5.0,5.0
179,352030105000005,5.0,5.0,4.0
180,352030105000006,5.0,5.0,4.0
181,352030105000007,3.0,5.0,4.0
182,352030105000008,4.0,3.0,2.0
183,352030105000009,4.0,4.0,5.0
184,352030105000010,5.0,5.0,5.0
185,352030105000011,4.0,4.0,4.0
186,352030105000012,3.0,3.0,4.0
187,352030105000013,4.0,3.0,4.0
188,352030105000014,4.0,3.0,4.0
189,352030105000015,1.0,1.0,2.0
190,352030105000016,1.0,4.0,3.0
191,352030105000017,1.0,3.0,3.0
192,352030105000018,3.0,3.0,2.0
193,352030105000019,2.0,2.0,2.0
194,352030105000021,4.0,2.0,3.0
195,352030105000022,4.0,4.0,4.0
196,352030105000025,4.0,5.0,5.0
197,352030105000026,4.0,3.0,3.0
198,352030105000027,4.0,3.0,4.0
199,352030105000028,2.0,2.0,3.0
200,352030105000030,2.0,5.0,5.0
201,352030105000031,3.0,4.0,2.0
202,352030105000032,2.0,2.0,2.0
203,352030105000033,4.0,1.0,2.0
204,352030105000035,5.0,5.0,1.0
205,352030105000036,4.0,4.0,4.0
206,352030105000037,5.0,2.0,3.0
207,352030105000038,4.0,5.0,2.0
208,352030105000039,4.0,1.0,2.0
209,352030105000040,3.0,1.0,3.0
210,352030105000041,4.0,5.0,1.0
211,352030105000042,5.0,5.0,1.0
212,352030105000043,4.0,2.0,2.0
213,352030105000044,2.0,2.0,2.0
214,352030105000045,4.0,1.0,2.0
215,352030105000046,2.0,2.0,1.0
216,352030105000047,2.0,1.0,1.0
218,352030105000049,3.0,1.0,1.0
219,352030105000050,4.0,5.0,5.0
220,352030105000051,1.0,5.0,2.0
221,352030105000052,2.0,5.0,3.0
222,352030105000053,1.0,1.0,1.0
223,352030105000054,4.0,4.0,4.0
224,352030105000055,1.0,3.0,3.0
226,352030105000057,4.0,4.0,1.0
227,352030105000058,3.0,2.0,4.0
228,352030105000059,2.0,2.0,2.0
230,352030105000061,1.0,2.0,3.0
231,352030105000062,2.0,3.0,4.0
232,352030105000063,5.0,1.0,5.0
233,352030105000064,2.0,5.0,4.0
234,352030105000065,4.0,4.0,3.0
235,352042605000001,4.0,5.0,4.0
236,352042605000002,2.0,2.0,5.0
237,352042605000004,2.0,2.0,4.0
240,352042605000008,4.0,1.0,3.0
241,352042605000010,1.0,2.0,3.0
242,352042605000011,5.0,2.0,5.0
243,352042605000012,5.0,3.0,4.0
244,352042605000013,2.0,3.0,4.0
245,352042605000014,4.0,1.0,5.0
246,352042605000015,3.0,2.0,4.0
247,352042605000016,2.0,3.0,4.0
248,352042605000017,2.0,1.0,4.0
249,352042605000018,4.0,3.0,4.0
250,352042605000019,3.0,3.0,5.0
251,352042605000020,5.0,4.0,5.0
252,352042605000021,3.0,5.0,4.0
253,352042605000022,4.0,3.0,4.0
254,352042605000023,4.0,5.0,5.0
255,352042605000024,3.0,1.0,5.0
256,352042605000025,3.0,3.0,3.0
257,352042605000026,2.0,4.0,5.0
258,352042605000027,4.0,5.0,4.0
259,352042605000028,5.0,5.0,5.0
260,352042605000029,3.0,5.0,5.0
261,352042605000030,3.0,1.0,5.0
262,352042605000031,4.0,3.0,5.0
263,352120005000001,4.0,4.0,5.0
264,352120005000002,2.0,3.0,3.0
265,352120005000003,4.0,4.0,5.0
266,352120005000004,2.0,4.0,3.0
267,352120005000005,3.0,4.0,3.0
268,352120005000006,2.0,1.0,1.0
269,352120005000007,4.0,2.0,2.0
270,352120005000008,3.0,2.0,2.0
271,352120005000009,3.0,1.0,3.0
272,352120005000010,4.0,1.0,1.0
273,352120005000011,5.0,1.0,1.0
274,352120005000012,2.0,3.0,4.0
275,352120005000013,1.0,1.0,1.0
276,352120005000014,1.0,2.0,5.0
278,352120005000016,1.0,1.0,1.0
280,352120005000019,1.0,2.0,1.0
281,352120005000021,2.0,1.0,1.0
282,352215805000001,3.0,4.0,4.0
283,352215805000002,2.0,3.0,5.0
284,352215805000003,2.0,1.0,2.0
285,352215805000004,5.0,3.0,2.0
286,352215805000005,3.0,3.0,3.0
287,352215805000006,3.0,2.0,3.0
288,352215805000007,1.0,1.0,1.0
289,352215805000008,3.0,4.0,2.0
290,352215805000009,3.0,3.0,2.0
291,352265305000001,2.0,3.0,4.0
292,352265305000002,2.0,1.0,3.0
293,352265305000003,1.0,3.0,1.0
294,352265305000004,3.0,5.0,1.0
295,352265305000005,1.0,3.0,1.0
296,352265305000006,3.0,4.0,3.0
297,352265305000007,4.0,1.0,1.0
298,352265305000008,2.0,3.0,1.0
299,352265305000009,4.0,4.0,1.0
300,352330505000001,5.0,5.0,5.0
301,352330505000002,5.0,3.0,5.0
302,352330505000003,5.0,4.0,5.0
303,352330505000004,5.0,4.0,5.0
304,352330505000005,4.0,5.0,4.0
305,352330505000006,4.0,4.0,3.0
306,352330505000007,3.0,1.0,3.0
308,352330505000010,1.0,1.0,3.0
309,352330505000011,1.0,1.0,1.0
311,352330505000013,2.0,1.0,2.0
312,352330505000014,1.0,1.0,5.0
313,352330505000015,1.0,1.0,5.0
314,352330505000016,1.0,4.0,1.0
315,352330505000017,1.0,4.0,3.0
316,352330505000018,2.0,5.0,2.0
317,352330505000019,3.0,3.0,4.0
318,352330505000020,1.0,5.0,5.0
321,352330505000023,1.0,2.0,3.0
322,352330505000024,3.0,4.0,4.0
324,352330505000026,1.0,3.0,3.0
325,352330505000027,4.0,3.0,3.0
326,352330505000028,2.0,1.0,3.0
327,352330505000029,5.0,3.0,4.0
329,352330505000031,4.0,5.0,4.0
330,352330505000032,2.0,4.0,5.0
331,352330505000034,2.0,1.0,5.0
332,352330505000035,5.0,1.0,4.0
334,352330505000037,3.0,5.0,1.0
335,352330505000038,3.0,5.0,5.0
336,352330505000039,4.0,2.0,2.0
337,352330510000001,5.0,5.0,4.0
338,352330510000002,1.0,5.0,4.0
340,352330510000005,1.0,1.0,1.0
341,352330510000006,1.0,2.0,2.0
342,352330510000007,5.0,3.0,1.0
343,352330510000008,3.0,4.0,1.0
344,352330510000009,4.0,2.0,2.0
345,352330510000010,1.0,2.0,1.0
346,352330510000011,5.0,3.0,2.0
348,352330510000014,1.0,3.0,2.0
349,352330510000015,4.0,2.0,3.0
352,352330510000020,3.0,1.0,1.0
354,352330510000023,4.0,1.0,5.0
355,352330510000024,2.0,1.0,3.0
356,352330510000025,3.0,5.0,1.0
357,352330510000028,5.0,5.0,2.0
358,352330510000029,4.0,1.0,4.0
360,352330510000031,2.0,2.0,2.0
361,352460005000001,5.0,5.0,5.0
362,352460005000002,5.0,3.0,5.0
363,352460005000003,1.0,5.0,5.0
364,352460005000004,4.0,4.0,4.0
365,352460005000005,4.0,5.0,5.0
366,352460005000006,1.0,4.0,5.0
367,352460005000007,2.0,4.0,4.0
368,352460005000008,4.0,2.0,4.0
369,352460005000009,1.0,5.0,5.0
370,352460005000010,4.0,5.0,5.0
371,352460005000011,1.0,4.0,2.0
372,352460005000012,2.0,2.0,2.0
373,352460005000013,4.0,2.0,2.0
374,352460005000014,5.0,1.0,3.0
375,352460005000015,5.0,5.0,3.0
376,352460005000016,1.0,4.0,3.0
377,352460005000017,2.0,1.0,4.0
378,352460005000018,5.0,3.0,4.0
379,352460005000019,2.0,4.0,2.0
380,352460005000020,1.0,1.0,2.0
382,352460005000023,1.0,3.0,3.0
383,352460005000024,1.0,3.0,2.0
384,352460005000025,1.0,4.0,4.0
386,352460005000027,1.0,1.0,2.0
387,352610005000001,5.0,5.0,5.0
388,352610005000002,5.0,4.0,5.0
389,352610005000003,5.0,3.0,5.0
390,352610005000004,1.0,5.0,4.0
391,352610005000005,5.0,4.0,5.0
392,352610005000006,3.0,3.0,3.0
393,352610005000007,2.0,3.0,3.0
394,352610005000008,5.0,4.0,4.0
395,352610005000009,3.0,3.0,2.0
396,352610005000010,5.0,2.0,1.0
397,352610005000011,5.0,2.0,3.0
398,352610005000012,3.0,3.0,3.0
399,352610005000013,2.0,3.0,4.0
400,352610005000014,3.0,1.0,4.0
401,352610005000015,4.0,2.0,4.0
402,352610005000016,3.0,3.0,3.0
403,352610005000017,3.0,3.0,2.0
404,352610005000018,5.0,3.0,2.0
405,352610005000019,1.0,5.0,5.0
406,352610005000020,2.0,1.0,2.0
407,352610005000021,2.0,1.0,2.0
408,352610005000022,1.0,1.0,2.0
409,352610005000023,1.0,1.0,2.0
410,352610005000024,5.0,5.0,4.0
411,352610005000025,3.0,2.0,2.0
412,352610005000026,2.0,1.0,3.0
413,352610005000027,2.0,3.0,2.0
414,352610005000028,1.0,1.0,4.0
415,352610005000029,3.0,2.0,1.0
416,352610005000030,4.0,3.0,4.0
417,352610005000031,3.0,2.0,2.0
418,352610005000032,3.0,2.0,2.0
419,352610005000033,3.0,2.0,2.0
420,352610005000034,5.0,1.0,1.0
421,352610005000035,1.0,1.0,1.0
422,352610005000036,3.0,2.0,2.0
423,352620905000001,2.0,3.0,5.0
424,352620905000002,3.0,4.0,5.0
425,352620905000003,4.0,3.0,4.0
426,352620905000004,2.0,4.0,4.0
427,352620905000005,1.0,4.0,1.0
428,352620905000006,3.0,5.0,4.0
429,352620905000007,5.0,3.0,3.0
430,352620905000008,1.0,1.0,2.0
431,352620905000009,1.0,4.0,4.0
432,352620905000010,2.0,4.0,3.0
433,352620905000011,2.0,4.0,2.0
434,352620905000012,3.0,1.0,2.0
435,352620905000013,1.0,5.0,1.0
437,352620905000015,2.0,4.0,3.0
438,352620905000016,3.0,5.0,3.0
439,352620905000017,1.0,3.0,3.0
440,352620905000018,2.0,5.0,4.0
441,352620905000019,2.0,4.0,3.0
442,352620905000020,3.0,4.0,5.0
443,352620905000021,1.0,1.0,2.0
444,352620905000022,3.0,2.0,4.0
445,352620905000023,3.0,3.0,4.0
446,352620905000024,3.0,2.0,4.0
447,352620905000025,2.0,3.0,4.0
448,352620905000026,3.0,4.0,5.0
449,352620905000027,4.0,3.0,4.0
450,352620905000028,3.0,1.0,2.0
451,352620905000029,3.0,3.0,4.0
452,352620905000030,3.0,3.0,5.0
453,352620905000031,3.0,1.0,3.0
454,352620905000032,2.0,1.0,1.0
455,352620905000033,2.0,1.0,3.0
457,352620905000035,5.0,1.0,2.0
458,352620905000036,1.0,4.0,1.0
459,352620905000038,1.0,2.0,1.0
460,352620905000039,1.0,2.0,3.0
461,352620905000040,5.0,1.0,3.0
462,352620905000041,1.0,3.0,1.0
463,352620905000042,1.0,2.0,4.0
464,352620905000043,1.0,5.0,4.0
465,352620910000001,2.0,3.0,3.0
466,352620910000002,1.0,4.0,3.0
467,352620910000003,2.0,3.0,3.0
468,352620910000004,2.0,2.0,1.0
469,352620910000005,5.0,2.0,5.0
470,352620910000006,1.0,2.0,1.0
471,352620910000007,3.0,4.0,3.0
472,352620910000008,2.0,4.0,1.0
473,352620910000009,3.0,2.0,4.0
474,352620910000010,2.0,5.0,4.0
475,352620910000011,4.0,4.0,1.0
476,352620910000012,3.0,3.0,3.0
477,352990605000001,4.0,5.0,5.0
478,352990605000002,3.0,4.0,5.0
479,352990605000003,2.0,4.0,5.0
480,352990605000004,4.0,5.0,5.0
481,352990605000005,1.0,5.0,2.0
482,352990605000006,2.0,4.0,3.0
483,352990605000007,4.0,4.0,5.0
484,352990605000008,3.0,2.0,3.0
485,352990605000009,1.0,3.0,2.0
486,352990605000010,5.0,5.0,5.0
487,352990605000011,5.0,4.0,4.0
488,352990605000012,4.0,2.0,2.0
489,352990605000013,3.0,2.0,4.0
490,352990605000014,2.0,4.0,3.0
491,352990605000015,1.0,2.0,2.0
492,352990605000016,1.0,1.0,1.0
493,352990605000017,4.0,2.0,1.0
494,352990605000018,4.0,5.0,5.0
495,352990605000019,2.0,1.0,2.0
497,352990605000021,3.0,3.0,2.0
498,352990605000022,1.0,4.0,1.0
499,352990605000023,3.0,3.0,3.0
500,352990605000024,3.0,1.0,4.0
501,352990605000025,1.0,4.0,2.0
503,352990608000001,5.0,3.0,3.0
504,352990608000002,5.0,3.0,2.0
505,352990608000003,3.0,2.0,2.0
506,352990608000004,5.0,3.0,1.0
507,352990608000005,4.0,3.0,1.0
508,352990610000001,5.0,5.0,4.0
509,352990610000002,5.0,3.0,2.0
510,352990610000003,3.0,3.0,3.0
511,352990610000004,2.0,1.0,2.0
512,352990610000005,4.0,4.0,3.0
513,352990610000006,2.0,3.0,3.0
514,352990610000007,5.0,2.0,4.0
515,352990610000008,1.0,1.0,1.0
516,352990610000009,2.0,1.0,1.0
517,352990615000001,4.0,4.0,3.0
518,352990615000002,4.0,1.0,3.0
519,352990615000003,3.0,1.0,4.0
520,352990615000004,2.0,2.0,3.0
521,352990615000005,1.0,2.0,1.0
522,352990615000006,1.0,2.0,2.0
523,352990615000007,2.0,1.0,3.0
524,352990615000008,1.0,2.0,1.0
525,353620805000001,5.0,5.0,5.0
526,353620805000002,5.0,1.0,5.0
527,353620805000003,5.0,5.0,5.0
528,353620805000004,5.0,4.0,4.0
529,353620805000005,5.0,5.0,5.0
530,353620805000006,5.0,4.0,5.0
531,353620805000007,4.0,4.0,4.0
532,353620805000008,4.0,5.0,4.0
533,353620805000009,5.0,5.0,5.0
534,353620805000010,2.0,1.0,2.0
535,353620805000011,5.0,5.0,3.0
536,353620805000012,4.0,2.0,3.0
537,353620805000013,4.0,2.0,3.0
538,353620805000014,3.0,5.0,3.0
539,353620805000015,3.0,4.0,3.0
540,353620805000016,1.0,2.0,3.0
541,353620805000017,4.0,5.0,5.0
542,353620805000018,3.0,1.0,4.0
543,353620805000019,2.0,4.0,3.0
544,353620805000020,4.0,4.0,3.0
545,353620805000021,3.0,2.0,2.0
546,353620805000022,1.0,5.0,2.0
547,353620805000024,1.0,5.0,5.0
548,353620805000025,3.0,2.0,3.0
549,353620805000026,5.0,5.0,4.0
550,353620805000027,3.0,3.0,2.0
551,353620805000028,5.0,1.0,1.0
552,353720605000001,4.0,4.0,5.0
553,353720605000002,3.0,3.0,4.0
554,353720605000003,5.0,4.0,5.0
555,353720605000004,5.0,3.0,4.0
556,353720605000005,3.0,3.0,3.0
557,353720605000006,2.0,3.0,4.0
558,353720605000007,4.0,5.0,4.0
559,353720605000008,1.0,4.0,2.0
560,353720605000009,1.0,4.0,4.0
561,353720605000010,2.0,1.0,2.0
562,353720605000011,3.0,1.0,4.0
563,353720605000012,4.0,3.0,2.0
564,353720605000013,1.0,2.0,5.0
565,353720605000014,1.0,5.0,1.0
566,353720605000015,2.0,2.0,4.0
567,353720605000016,2.0,5.0,4.0
568,353720605000017,4.0,2.0,5.0
569,354260205000001,5.0,5.0,5.0
570,354260205000002,5.0,5.0,5.0
571,354260205000003,5.0,5.0,5.0
572,354260205000004,5.0,5.0,5.0
573,354260205000005,5.0,5.0,5.0
574,354260205000006,5.0,5.0,5.0
575,354260205000007,5.0,5.0,5.0
576,354260205000008,3.0,4.0,3.0
577,354260205000009,4.0,4.0,4.0
578,354260205000010,5.0,5.0,5.0
579,354260205000011,5.0,5.0,5.0
580,354260205000012,5.0,5.0,5.0
581,354260205000013,4.0,3.0,1.0
582,354260205000014,3.0,5.0,5.0
583,354260205000015,5.0,5.0,3.0
584,354260205000016,2.0,5.0,5.0
585,354260205000017,5.0,5.0,5.0
586,354260205000018,5.0,5.0,5.0
587,354260205000019,5.0,5.0,5.0
588,354260205000020,5.0,5.0,5.0
589,354260205000021,5.0,5.0,5.0
590,354260205000022,5.0,5.0,3.0
591,354260205000023,4.0,5.0,5.0
592,354260205000024,5.0,5.0,4.0
593,354260205000025,5.0,4.0,3.0
594,354260205000026,2.0,5.0,3.0
595,354260205000027,3.0,4.0,3.0
596,354260205000028,3.0,4.0,3.0
597,354260205000029,5.0,4.0,3.0
598,354260205000030,3.0,5.0,2.0
599,354260205000031,5.0,5.0,5.0
600,354260205000032,4.0,5.0,4.0
601,354260205000033,2.0,5.0,5.0
602,354260205000034,1.0,3.0,5.0
603,354260205000035,2.0,4.0,4.0
604,354260205000036,1.0,5.0,5.0
605,354260205000037,5.0,3.0,5.0
606,354260205000038,3.0,5.0,3.0
607,354260205000039,3.0,5.0,4.0
608,354260205000040,1.0,5.0,4.0
609,354260205000041,1.0,5.0,5.0
610,354260205000042,4.0,1.0,1.0
611,354260205000043,3.0,2.0,3.0
612,354260205000044,1.0,5.0,5.0
613,354260205000045,2.0,3.0,2.0
614,354260205000046,5.0,1.0,3.0
615,354260205000047,4.0,2.0,2.0
616,354260205000048,5.0,1.0,3.0
617,354260205000049,4.0,3.0,2.0
618,354260205000050,1.0,5.0,2.0
619,354260205000051,4.0,3.0,2.0
620,354260205000052,4.0,5.0,5.0
621,354260205000053,4.0,5.0,2.0
622,354260205000054,5.0,2.0,2.0
623,354260205000055,4.0,4.0,4.0
624,354260205000056,3.0,3.0,2.0
625,354260205000057,5.0,1.0,3.0
626,354260205000058,5.0,5.0,3.0
627,354260205000059,5.0,3.0,2.0
628,354260205000060,5.0,5.0,2.0
629,354260205000061,3.0,4.0,3.0
630,354260205000062,5.0,3.0,3.0
631,354260205000063,5.0,1.0,1.0
632,354260205000064,5.0,1.0,1.0
633,354260205000065,3.0,3.0,4.0
634,354260205000066,3.0,5.0,5.0
635,354260205000067,4.0,5.0,5.0
636,354260205000068,2.0,3.0,1.0
637,354260205000069,2.0,4.0,4.0
638,354280005000001,2.0,5.0,5.0
639,354280005000002,1.0,5.0,4.0
640,354280005000003,1.0,2.0,2.0
641,354280005000004,3.0,2.0,3.0
642,354280005000005,3.0,2.0,2.0
643,354280005000006,1.0,5.0,2.0
644,354280005000007,4.0,4.0,2.0
645,354280005000008,3.0,2.0,2.0
646,354995305000001,5.0,5.0,5.0
647,354995305000002,4.0,5.0,5.0
648,354995305000003,2.0,4.0,5.0
649,354995305000004,2.0,4.0,5.0
650,354995305000005,4.0,3.0,3.0
651,354995305000006,3.0,2.0,5.0
652,354995305000007,3.0,4.0,4.0
653,354995305000008,5.0,2.0,4.0
654,354995305000009,3.0,4.0,4.0
655,354995305000010,2.0,4.0,5.0
656,354995305000011,2.0,2.0,4.0
657,354995305000012,4.0,3.0,3.0
658,354995305000013,3.0,4.0,5.0
659,354995305000014,2.0,3.0,4.0
660,354995305000015,1.0,4.0,4.0
661,354995305000016,1.0,1.0,2.0
662,354995305000017,5.0,1.0,4.0
663,354995305000018,2.0,4.0,4.0
664,354995305000019,2.0,5.0,5.0
665,354995305000020,4.0,1.0,3.0
666,354995305000021,4.0,5.0,4.0
667,354995305000022,3.0,3.0,3.0
668,354995305000023,2.0,3.0,5.0
669,354995305000024,5.0,1.0,4.0
670,354995305000025,4.0,4.0,2.0
671,354995305000026,4.0,3.0,3.0
672,354995305000027,1.0,4.0,5.0
673,355180105000001,5.0,5.0,5.0
674,355180105000002,2.0,5.0,4.0
675,355180105000003,4.0,4.0,5.0
676,355180105000004,3.0,2.0,3.0
677,355180105000005,3.0,4.0,4.0
678,355180105000006,3.0,1.0,1.0
679,355180105000007,1.0,5.0,4.0
680,355180105000008,3.0,3.0,4.0
681,355180105000009,4.0,3.0,4.0
682,355180105000010,3.0,5.0,4.0
683,355180105000011,4.0,4.0,5.0
684,355180105000012,3.0,5.0,2.0
685,355180105000013,2.0,2.0,2.0
686,355180105000014,5.0,2.0,3.0
687,355180105000015,5.0,2.0,3.0
688,355180105000016,5.0,3.0,3.0
689,355180105000017,2.0,2.0,4.0
690,355180105000018,5.0,1.0,4.0
692,355180105000020,2.0,3.0,3.0
693,355180105000021,2.0,2.0,1.0
695,355180105000023,5.0,1.0,2.0
696,355180105000025,5.0,2.0,3.0
697,355180105000026,3.0,2.0,1.0
698,355180105000027,5.0,1.0,1.0
699,355350005000001,4.0,4.0,4.0
700,355350005000002,4.0,2.0,3.0
701,355350005000003,2.0,1.0,3.0
702,355350005000004,5.0,3.0,4.0
703,355350005000005,2.0,3.0,4.0
704,355350005000006,3.0,5.0,4.0
705,355350005000007,5.0,2.0,2.0
706,355350005000008,4.0,4.0,5.0
707,355350005000010,5.0,2.0,2.0
708,355350005000011,4.0,3.0,5.0
709,355350005000012,2.0,4.0,3.0
710,355350005000013,5.0,3.0,2.0
711,355350005000014,2.0,1.0,2.0
712,355350005000015,5.0,5.0,5.0
713,355350005000016,1.0,3.0,4.0
714,410020205000001,1.0,4.0,5.0
715,410020205000002,2.0,5.0,5.0
716,410020205000003,4.0,2.0,3.0
717,410020205000004,3.0,3.0,3.0
718,410020205000005,5.0,4.0,4.0
719,410020205000006,2.0,1.0,1.0
720,410020205000007,5.0,4.0,3.0
721,410020205000008,4.0,1.0,1.0
722,410020205000009,4.0,2.0,4.0
723,410020205000010,4.0,1.0,1.0
724,410020205000011,2.0,1.0,1.0
725,410020205000012,2.0,1.0,1.0
726,410020205000013,1.0,2.0,1.0
727,410020205000014,1.0,1.0,1.0
728,410020205000015,5.0,2.0,3.0
729,410020205000016,3.0,1.0,2.0
730,410020205000017,1.0,1.0,2.0
