city,direction,filename,latitude,longitude,name,pano_id,uf
REGISTRO,180,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5-180.jpg,-24.5061016,-47.8389664,unknown,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5,unknown
REGISTRO,270,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5-270.jpg,-24.5061016,-47.8389664,unknown,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5,unknown
REGISTRO,0,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16-0.jpg,-24.5055695,-47.83890150000001,unknown,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16,unknown
REGISTRO,90,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16-90.jpg,-24.5055695,-47.83890150000001,unknown,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16,unknown
REGISTRO,180,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16-180.jpg,-24.5055695,-47.83890150000001,unknown,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16,unknown
REGISTRO,270,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16-270.jpg,-24.5055695,-47.83890150000001,unknown,CAoSLEFGMVFpcE02S0xsZkRmR2FIMEFBNjkwaGpQdUd3RUlnbkQyUV96cERaZC16,unknown
REGISTRO,0,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM-0.jpg,-24.50356047875666,-47.83870652318001,unknown,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM,unknown
REGISTRO,90,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM-90.jpg,-24.50356047875666,-47.83870652318001,unknown,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM,unknown
REGISTRO,180,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM-180.jpg,-24.50356047875666,-47.83870652318001,unknown,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM,unknown
REGISTRO,270,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM-270.jpg,-24.50356047875666,-47.83870652318001,unknown,CAoSLEFGMVFpcE9TTkpnNDFnYTB2Z3dTMDJvZFVkV01vR3pFTmU4RDZTeFVBaVJM,unknown
